gene1,gene2,gene1_coef,gene2_coef,interaction_coef,gene1_pval,gene2_pval,interaction_pval,roc_auc,aic,bic,model_type,converged,lspc_coverage,hspc_coverage,specificity_ratio,lspc_n_both,hspc_n_both,mean_gene1_lspc,mean_gene1_hspc,mean_gene2_lspc,mean_gene2_hspc,corr_gene1_gene2_lspc,corr_gene1_gene2_hspc,anchor_lspc_coverage,anchor_specificity,efficacy_retention,specificity_gain,interaction_qval
CD9,HNRNPK,0.1474605232169616,-0.03584707626355003,0.010055202396861132,0.0003309542170557454,0.2533403586572365,0.04192509665638132,0.6431873691337164,27940.105895210727,27972.103085640254,logit_clustered,True,0.3422338000651254,0.09735786984681813,3.511607637259464,4204,947,2.8573780787749072,0.8223883473743883,6.65678283458818,6.7580087481559765,0.10154980113797915,0.01153525541099821,0.3818788668186259,3.3502708399315373,0.8938435357082413,0.16133679732792672,0.10357965056282444
IL1RAP,YBX1,0.14345933650762788,0.07127192184267277,0.007208144650620689,7.180233479101336e-11,0.19637907619694206,0.07045941352995636,0.7052925357204466,28364.741226937993,28396.73841736752,logit_clustered,True,0.3023445131878867,0.09478770432815874,3.1863402674624868,3714,922,2.294560363850193,0.703020623633938,7.9786159236774195,7.39702071063748,0.0536584397456323,0.025693396067353293,0.317730380983393,3.0976042703319284,0.9485901916693655,0.08873599713055835,0.15575238780306142
PLP2,IL2RG,0.11420812922795176,0.1753545600659873,0.002255457285098327,0.030287410433780537,1.33924997241295e-06,0.6202833822823379,0.7135159732062712,27047.503071636133,27079.50026206566,logit_clustered,True,0.3104037772712471,0.08275932970083273,3.7461536122965713,3813,805,4.441815715835201,2.5054910403707304,3.2614125380382064,1.1232429413124327,0.16529096071176533,0.12646934441723004,0.5883262780853142,1.6540755114307724,0.5267095475187877,2.092078100865799,0.7017176691986701
PLP2,EMB,0.11393750687886194,0.2546592583562725,0.0028571033175518123,0.018553153114087007,8.727730741320907e-19,0.3644635180243908,0.7774642606391209,24672.017658984896,24704.014849414423,logit_clustered,True,0.3827743406056659,0.07587128611082554,5.038408064426889,4702,738,4.441815715835201,2.5054910403707304,4.532162607033113,1.1849952348860404,0.08636483187033368,0.07102348908845718,0.5883262780853142,1.6540755114307724,0.6495117472943457,3.384332552996117,0.46386265930377013
HCST,IL2RG,0.17843239744674386,0.18272386520348957,-0.0021847641040471217,0.003045487043232667,8.635579390469554e-06,0.6348874149892676,0.75388720168714,25870.385786557024,25902.38297698655,logit_clustered,True,0.33254640182351025,0.07957232445769508,4.173926191899771,4085,774,5.145167474247747,2.3321667821951904,3.2614125380382064,1.1232429413124327,0.14131945349068664,0.15073297810350836,0.6581732334744383,2.048179844882762,0.5044901475605894,2.1257463470170093,0.7017176691986701
HCST,EMB,0.16531481398915876,0.24488863609164813,0.0038584040681977684,0.005096733626458041,1.741642987020031e-18,0.2981564423563148,0.7989428309153803,23663.286944649964,23695.28413507949,logit_clustered,True,0.42478020188863563,0.06579623727768068,6.446198135694015,5218,640,5.145167474247747,2.3321667821951904,4.532162607033113,1.1849952348860404,0.1112658573087801,0.05619809722927052,0.6581732334744383,2.048179844882762,0.6444136083160724,4.398018290811253,0.43181277858501066
HCST,TNFRSF1A,0.1676450056728698,0.0812305657490998,0.0090791221256873,0.007727475145453957,0.14049139735078323,0.0223910570072676,0.730513600920901,26544.683419174624,26576.68060960415,logit_clustered,True,0.33971019211983067,0.09417086460368047,3.603554433790224,4173,916,5.145167474247747,2.3321667821951904,3.3556547989496637,1.8473598277585346,0.10697228735448094,0.015588907733242329,0.6581732334744383,2.048179844882762,0.5153579891726657,1.555374588907462,0.07234033802347993
HCST,GNPTAB,0.18763119431402794,0.1525463561784592,-0.0009684195907657053,0.0017527304805474984,3.1523834366088076e-07,0.7801113112354315,0.7459091183446813,26074.727591682662,26106.72478211219,logit_clustered,True,0.3489905568218821,0.09684383674308625,3.5999251581794973,4287,942,5.145167474247747,2.3321667821951904,3.603005972034138,1.6336853817081083,0.06873688694566775,0.09287819171377369,0.6581732334744383,2.048179844882762,0.5294367839883101,1.5517453132967352,0.7801113112354315
IL2RG,PLP2,0.17535456006598732,0.11420812922795176,0.0022554572850983262,1.339249972413009e-06,0.03028741043378078,0.6202833822823394,0.7135159732062712,27047.503071636133,27079.50026206566,logit_clustered,True,0.3104037772712471,0.08275932970083273,3.7461536122965713,3813,805,3.2614125380382064,1.1232429413124327,4.441815715835201,2.5054910403707304,0.16529096071176533,0.12646934441723004,0.44513187886681865,2.713370009868571,0.6957668617173853,1.0327836024280002,0.7017176691986701
IL2RG,HCST,0.18272386520348946,0.17843239744674375,-0.0021847641040471065,8.635579390470664e-06,0.003045487043232711,0.6348874149892729,0.75388720168714,25870.385786557024,25902.38297698655,logit_clustered,True,0.33254640182351025,0.07957232445769508,4.173926191899771,4085,774,3.2614125380382064,1.1232429413124327,5.145167474247747,2.3321667821951904,0.14131945349068664,0.15073297810350833,0.44513187886681865,2.713370009868571,0.7453993260203303,1.4605561820312003,0.7017176691986701
