gene,lspc_pct,hspc_pct,log2FC,padj
IL10RA,4.6483230218169975,2.086974401151434,,
IL10RB,15.38586779550635,7.093656831499948,0.3576751528913108,0.3918259328491565
IL11RA,2.5236079452946925,2.3851136013159246,,
IL12A,5.511234125691957,4.060861519481855,-0.978695710952578,0.0271381913485232
IL12RB1,5.283295343536308,1.0280662074637608,,
IL12RB2,1.6688375122110062,3.248689215585484,,
IL13RA1,5.592640833604689,1.9944484424796958,0.5359544454542845,0.455035019856316
IL15,1.5548681211331814,3.0019533257941813,,
IL15RA,7.3266037121458805,4.225352112676056,0.4367319437283091,0.3492335119601744
IL17C,0.07326603712145881,0.020561324149275213,,
IL17D,0.6431129925105828,0.5551557520304308,,
IL17RA,7.497557798762618,8.060039066515884,0.3181858053012936,0.5513765625179267
IL17RC,7.546401823510258,7.813303176724581,-0.4569198600968365,0.2596473309028941
IL17RE,6.976554868121133,1.9841677804050581,0.4587891118977215,0.5237252681356537
IL18,50.18723542819929,32.8878379767657,0.0514107440929538,0.8897262424472383
IL18R1,2.718984044285249,1.387889380076077,,
IL18RAP,0.08954737870400521,0.05140331037318804,,
IL1B,26.717681536958647,25.454919296802714,-0.1423761555219249,0.7850273466494057
IL1R1,8.091826766525562,0.7916109797470957,,
IL1RAP,31.773038098339303,10.157294129741956,1.02847665360185,0.0211101006525589
IL1RL1,1.9700423314881146,0.26729721394057776,,
IL1RN,0.8222077499185932,0.20561324149275215,,
IL20RB,0.38261152718984043,0.3084198622391282,,
IL21R,1.742103549332465,0.8944176004934717,,
IL23A,0.5047215890589385,0.6990850210753573,,
IL27RA,20.872679908824487,26.904492649326617,0.2216519020737546,0.5237252681356537
IL2RA,11.812113318137415,0.5037524416572428,2.232847035192835,0.0049963128294418
IL2RB,0.20351676978183003,0.09252595867173846,,
IL2RG,44.51318788668186,16.305130050375244,0.732693556737273,0.0271381913485232
IL3RA,33.46629762292413,11.833042047907885,0.951116712663883,8.763595151586896e-05
IL4R,10.468902637577337,2.8066207463760664,0.4696008920191443,0.3991975142978117
IL5,0.05698469553891241,0.020561324149275213,,
IL5RA,1.050146532074243,0.4112264829855043,,
IL6,0.10582872028655162,0.1439292690449265,,
IL6R,25.70823835884077,14.855556697851341,0.4843651951858139,0.1353791737269749
IL6ST,10.713122761315532,28.415749974298343,-1.0490167524334686,0.0003205883701219
IL7,0.9524584825789645,3.5571090778246117,,
IL7R,1.9944643438619343,0.6888043590007197,,
IL9R,0.5617062845978509,0.5859977382543435,,
ILDR1,0.1383914034516444,0.1439292690449265,,
IMPAD1,15.491696515792901,7.576847949007916,0.2752450493136801,0.434002403659795
IMPG2,0.8222077499185932,0.39066515883622904,,
