anchor,partner,anchor_lspc,anchor_hspc,partner_lspc,partner_hspc,dual_lspc,dual_hspc,anchor_specificity,dual_specificity,efficacy_loss,efficacy_retention,specificity_gain_abs,specificity_gain_ratio,composite_score
PLP2,HNRNPK,58.83262780853142,35.468284157499745,82.83946597199609,84.0649737843117,52.36079452946923,32.58969877660121,1.6586922799819646,1.6066177312854104,6.471833279062189,88.99958488999586,-0.052074548696554146,0.9686050575353734,0.4423941970151516
IL2RG,EEF1D,44.51318788668186,16.305130050375244,83.27092152393357,89.83242520818341,40.0683816346467,15.564922381001336,2.729843791823401,2.5741090475660684,4.444806252035164,90.01463057790784,-0.15573474425733247,0.9429510418421014,0.4422864156766726
TAGLN2,PCBP2,88.04135460761967,83.7051506116994,84.34549006838164,85.18556595044721,78.02018886356235,75.6965148555567,1.0517907461308387,1.0306836230018606,10.021165744057313,88.6176606564956,-0.02110712312897811,0.97993220304835,0.4420329471260291
PLP2,ITM2B,58.83262780853142,35.468284157499745,81.70791273200912,80.68263596175593,51.93747964832302,31.078441451629484,1.6586922799819646,1.6711201109954297,6.8951481602084,88.28006088280061,0.012427831013465118,1.007492547691607,0.4420216959646763
EMP3,EMB,70.35981764897427,68.28415749974299,59.703679583197655,16.82944381618176,43.91891891891892,12.131181248072377,1.030382300124871,3.620034849536804,26.440898730055352,62.420455860233716,2.589652549411933,3.5132929293312736,0.44158490677176526
VIM,CYBA,89.62064474112667,80.15832219594942,80.75545424943016,58.918474349748124,75.17095408661673,48.25742777834893,1.118031468904503,1.5576751574228052,14.449690654509936,83.87682804977746,0.43964368851830216,1.3932301556315625,0.44136632467480236
VDAC1,PTPRC,49.86160859654836,34.40937596381207,82.39986974926734,64.63452246324664,42.92575708238359,25.77361982111648,1.4490283003296942,1.6654273615013955,6.935851514164767,86.08979591836736,0.21639906117170127,1.1493408107505316,0.44126893265042183
TYROBP,LAMP1,72.33800065125367,18.926698879407834,38.43210680560078,21.91837154312738,29.925105828720287,3.5159864295260617,3.8218063966535802,8.508735085666197,42.412894822533374,41.368444744541975,4.686928689012618,2.2263647612073045,0.44118865817334074
TAGLN2,EMB,88.04135460761967,83.7051506116994,59.703679583197655,16.82944381618176,54.566916313904265,14.845276035776704,1.0517907461308387,3.6754615219606834,33.4744382937154,61.97873324086917,2.6236707758298445,3.4944798054949517,0.441077204995838
CYBA,ENO1,80.75545424943016,58.918474349748124,85.44448062520351,81.06302045851753,71.04363399544123,50.97152256605325,1.3706071742945782,1.3937633536456553,9.711820253988932,87.97379032258064,0.023156179351077055,1.0168948330239078,0.44102676058045703
CAPNS1,CD47,43.14555519374797,22.524930605530997,72.37056333441876,45.71810424591344,34.052425919895796,11.976971316952811,1.9153728185220478,2.842920977085685,9.09312927385217,78.92452830188678,0.9275481585636374,1.484265073407149,0.4410000494376158
ANXA1,PTPRC,83.14881146206447,62.16716356533361,82.39986974926734,64.63452246324664,70.65288179746011,42.62362496144752,1.337482188526961,1.657560198156891,12.495929664604361,84.97160759741531,0.32007800962993005,1.2393138483454862,0.4408619384685731
IL3RA,HNRNPK,33.46629762292413,11.833042047907885,82.83946597199609,84.0649737843117,29.57505698469554,10.537678626503547,2.827968456377132,2.806334459266812,3.8912406382285916,88.37265872050595,-0.021633997110320102,0.9923499864146168,0.4407815937470138
IL1RAP,CD164,31.773038098339303,10.157294129741956,78.06903288830999,77.09468489770741,27.222403126017586,8.07031972859052,3.1277926876829283,3.3727325940997486,4.550634972321717,85.67768383294903,0.24493990641682029,1.078310786831039,0.44063541448558613
IL3RA,PCBP2,33.46629762292413,11.833042047907885,84.34549006838164,85.18556595044721,29.851839791598827,10.979747095712964,2.827968456377132,2.718561818371484,3.6144578313253035,89.19970810021893,-0.10940663800564776,0.9613126384918003,0.4405282086008122
CD99,CYBA,89.77531748616086,78.35920633288784,80.75545424943016,58.918474349748124,75.53728427222403,49.203248689215584,1.145674848082707,1.5351780849115988,14.23803321393683,84.14036996735582,0.38950323682889176,1.3399771213278597,0.4401770116782237
EMB,PTGES3,59.703679583197655,16.82944381618176,78.74470856398567,70.07299270072993,49.86974926733963,12.480723758610054,3.5473621631887737,3.995421644621708,9.833930315858026,83.52877011180802,0.44805948143293417,1.1263077917677757,0.4400468246306868
VIM,EMB,89.62064474112667,80.15832219594942,59.703679583197655,16.82944381618176,55.03093454900684,14.577978821836126,1.118031468904503,3.774676897574096,34.58971019211983,61.404305568171495,2.656645428669593,3.3761812637283746,0.4398537992743371
SLC9A3R1,CD37,41.6151090849886,35.416880847126556,73.94171279713449,81.91631541071246,36.80397264734614,32.81587334224324,1.1749745634023394,1.1214954046207242,4.81113643764246,88.43896713615024,-0.053479158781615244,0.9544848369936135,0.4395208777416704
ANXA1,PCBP2,83.14881146206447,62.16716356533361,84.34549006838164,85.18556595044721,72.89156626506023,53.58281073301121,1.337482188526961,1.3603281526252884,10.257245197004238,87.6639906011357,0.022845964098327398,1.017081322124737,0.4394622512105948
CTSC,ENO1,60.485183979159885,40.74226380178884,85.44448062520351,81.06302045851753,53.41094106154347,37.0412254549193,1.4845443966740897,1.4418934177306661,7.0742429176164165,88.30417227456257,-0.04265097894342351,0.9712699875874531,0.4393883124256417
TIMP1,CD47,52.92250081406708,28.82697645728385,72.37056333441876,45.71810424591344,41.36274829045913,14.763030739179603,1.8358035255261687,2.801589147379244,11.559752523607948,78.15720658360252,0.9657856218530751,1.5260833245084147,0.43907531401066635
CD63,EMB,69.96906545099316,68.3149994859669,59.703679583197655,16.82944381618176,43.71540214913709,12.295671841266577,1.0241973472900125,3.5550596708966364,26.253663301856065,62.478184991274,2.530862323606624,3.4710690086272824,0.4389340411367012
EZR,PTGES3,29.648323021817,33.453274390870774,78.74470856398567,70.07299270072993,25.73266037121459,26.24653027654981,0.8862342275134694,0.9803840628085599,3.9156626506024104,86.79297089511257,0.09414983529509058,1.106235837402996,0.4386723462403174
CD99,EMB,89.77531748616086,78.35920633288784,59.703679583197655,16.82944381618176,54.925105828720284,14.454610876940475,1.145674848082707,3.7995700282951423,34.850211657440575,61.18063112078346,2.6538951802124355,3.316447100722987,0.43859791461453906
IL1RAP,HNRNPK,31.773038098339303,10.157294129741956,82.83946597199609,84.0649737843117,27.938782155649626,9.005859977382544,3.1277926876829283,3.1019447649688936,3.8342559426896763,87.93235972328978,-0.025847922714034688,0.9917360498936447,0.43836940248074713
IL2RG,RTN4,44.51318788668186,16.305130050375244,76.70954086616737,65.66258867071039,37.79713448388147,12.573249717281794,2.729843791823401,3.005915687512859,6.716053402800391,84.91221653255303,0.2760718956894581,1.101131023143656,0.43836467744723806
HCST,EEF1D,65.81732334744383,32.03454302457078,83.27092152393357,89.83242520818341,58.53142298925432,30.348514444330213,2.0545093709497273,1.9285785641354452,7.285900358189515,88.93011750154606,-0.12593080681428215,0.9387051679613081,0.43835404716701626
TGFB1,RTN4,53.80983393031586,34.67667317775265,76.70954086616737,65.66258867071039,45.913383262780854,25.742777834892568,1.5517140857316054,1.783474964600993,7.896450667535007,85.32526475037821,0.23176087886938768,1.1493579783804801,0.4382143676953605
PLP2,CD164,58.83262780853142,35.468284157499745,78.06903288830999,77.09468489770741,50.78150439596223,28.42603063637298,1.6586922799819646,1.7863808937886825,8.05112341256919,86.31520686315208,0.12768861380671792,1.0769814964160238,0.4379604650060963
EMP3,ITM2B,70.35981764897427,68.28415749974299,81.70791273200912,80.68263596175593,61.34809508303484,57.386655700627124,1.030382300124871,1.0690120433402621,9.01172256593943,87.19194724054148,0.03862974321539103,1.0374906898252323,0.437891223363477
VDAC1,HCST,49.86160859654836,34.40937596381207,65.81732334744383,32.03454302457078,36.50276782806903,12.655495013878895,1.4490283003296942,2.88411347596951,13.358840768479325,73.20816326530611,1.435085175639816,1.9903776036073928,0.43779507510852145
TGFB1,ITM2B,53.80983393031586,34.67667317775265,81.70791273200912,80.68263596175593,46.914685770107454,29.54662280250848,1.5517140857316054,1.5877651506409705,6.895148160208407,87.1860816944024,0.03605106490936505,1.023233059002856,0.4377329617174803
